15:12:45.915	127.0.0.1:58391	admin	OK	CLOSE[3]	0.08 ms	
15:12:45.915	127.0.0.1:58391	admin	OK	QUERY[4] doc("pistes/pistes.xml")/pistes/pista[@id="PS-003"]	0.09 ms	
15:12:45.940	127.0.0.1:58391	admin	OK	FULL[4]	23.65 ms	
15:12:45.941	127.0.0.1:58391	admin	OK	CLOSE[4]	0.07 ms	
15:12:45.941	127.0.0.1:58391	admin	OK	QUERY[5] insert node <pista id="PS-003"><nom>Red Mountain</nom><color>Vermella</color><oberta>true</oberta><longitud>3500</longitud><desnivell>600</desnivell><pendentMax>30</pendentMax><gruix>70</gruix><qualitat>Dura</qualitat><remuntadors><remuntador>Telecadira Central</remuntador><remuntador>Telecabina Nord</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.12 ms	
15:12:45.946	127.0.0.1:58391	admin	OK	FULL[5]	5.07 ms	
15:12:45.947	127.0.0.1:58391	admin	OK	CLOSE[5]	0.08 ms	
15:12:45.947	127.0.0.1:58391	admin	OK	QUERY[6] doc("pistes/pistes.xml")/pistes/pista[@id="PS-004"]	0.08 ms	
15:12:45.971	127.0.0.1:58391	admin	OK	FULL[6]	23.9 ms	
15:12:45.972	127.0.0.1:58391	admin	OK	CLOSE[6]	0.1 ms	
15:12:45.972	127.0.0.1:58391	admin	OK	QUERY[7] insert node <pista id="PS-004"><nom>Black Ice</nom><color>Negra</color><oberta>false</oberta><longitud>4500</longitud><desnivell>800</desnivell><pendentMax>40</pendentMax><gruix>100</gruix><qualitat>Glacial</qualitat><remuntadors><remuntador>Telecabina Nord</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.11 ms	
15:12:45.978	127.0.0.1:58391	admin	OK	FULL[7]	4.92 ms	
15:12:45.978	127.0.0.1:58391	admin	OK	CLOSE[7]	0.09 ms	
15:12:45.979	127.0.0.1:58391	admin	OK	QUERY[8] doc("pistes/pistes.xml")/pistes/pista[@id="PS-005"]	0.08 ms	
15:12:46.004	127.0.0.1:58391	admin	OK	FULL[8]	26.21 ms	
15:12:46.006	127.0.0.1:58391	admin	OK	CLOSE[8]	0.1 ms	
15:12:46.006	127.0.0.1:58391	admin	OK	QUERY[9] insert node <pista id="PS-005"><nom>Sunrise Valley</nom><color>Verda</color><oberta>true</oberta><longitud>1800</longitud><desnivell>250</desnivell><pendentMax>12</pendentMax><gruix>35</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecabina Nord</remuntador><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.13 ms	
15:12:46.011	127.0.0.1:58391	admin	OK	FULL[9]	4.79 ms	
15:12:46.012	127.0.0.1:58391	admin	OK	CLOSE[9]	0.09 ms	
15:12:46.012	127.0.0.1:58391	admin	OK	QUERY[10] doc("pistes/pistes.xml")/pistes/pista[@id="PS-006"]	0.1 ms	
15:12:46.035	127.0.0.1:58391	admin	OK	FULL[10]	24.05 ms	
15:12:46.037	127.0.0.1:58391	admin	OK	CLOSE[10]	0.08 ms	
15:12:46.037	127.0.0.1:58391	admin	OK	QUERY[11] insert node <pista id="PS-006"><nom>Crystal Path</nom><color>Blava</color><oberta>true</oberta><longitud>2200</longitud><desnivell>350</desnivell><pendentMax>18</pendentMax><gruix>45</gruix><qualitat>Humida</qualitat><remuntadors><remuntador>Telecabina Nord</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.1 ms	
15:12:46.042	127.0.0.1:58391	admin	OK	FULL[11]	4.77 ms	
